Hotel_Name,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
"krishna vatika, krishna nagar kanpur nagar uttar pradesh",kanpur,0,0,0,0,0,0,0,0,0
the villa,kanpur,3-star hotel,free wi-fi,pool,kitchen,full-service laundry,kid-friendly,0,0,0
hotel sant villa,kanpur,1-star hotel,free wi-fi,air conditioning,kitchen,full-service laundry,0,0,0,0
status club & resort,kanpur,3-star hotel,air conditioning,kid-friendly,0,0,0,0,0,0
the deep hotel,kanpur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,0
the royal orchid hotel | hotels in kanpur,kanpur,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry,0,0
little chef hotel,kanpur,3-star hotel,free breakfast,wi-fi,paid parking,air conditioning,fitness center,bar,restaurant,room service
hotel bhagyaraj palace -best hotel in kanpur,kanpur,free wi-fi,paid parking,restaurant,room service,kitchen,full-service laundry,0,0,0
the altius boutique hotel,chandigarh,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,bar,restaurant,room service
hotel oyster,chandigarh,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,fitness center,spa,bar,restaurant
hotel emerald chandigarh,chandigarh,3-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
hotel aroma chandigarh,chandigarh,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,spa,restaurant,room service
the altius boutique hotel,chandigarh,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,bar,restaurant,room service
hotel the yellow,chandigarh,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
hotel royal park 22,chandigarh,3-star hotel,free wi-fi,air conditioning,pet-friendly,restaurant,kitchen,airport shuttle,full-service laundry,kid-friendly
hotel city palace,chandigarh,breakfast,free wi-fi,air conditioning,restaurant,room service,kitchen,full-service laundry,0,0
"the fern residency, chandigarh",chandigarh,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle
wyndham chandigarh mohali,chandigarh,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa,restaurant
hotel city heart premium,chandigarh,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,bar,restaurant,room service,full-service laundry
hotel pride,chandigarh,2-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
the regent hotel,chandigarh,3-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
hotel chandigarh beckons,chandigarh,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
taj chandigarh,chandigarh,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
the piccadily hotel,chandigarh,4-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,bar,restaurant,room service,kitchen
amara hotel,chandigarh,3-star hotel,free breakfast,wi-fi,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
hotel landmark chandigarh,chandigarh,2-star hotel,breakfast,free wi-fi,paid parking,hot tub,air conditioning,restaurant,room service,kitchen
hotel park inn,chandigarh,3-star hotel,free breakfast,wi-fi,air conditioning,restaurant,room service,full-service laundry,kid-friendly,0
kapoor's homestay chandigarh,chandigarh,sleeps 5,2 bedrooms,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no crib,no elevator
natures blessing,chandigarh,sleeps 7,3 bedrooms,air conditioning,elevator,fireplace,kitchen,paid parking,free wi-fi,no crib
hotel parkview,chandigarh,0,0,0,0,0,0,0,0,0
hotel icon,chandigarh,4-star hotel,free breakfast,wi-fi,pool,air conditioning,restaurant,room service,airport shuttle,full-service laundry
the guwahati address,guwahati,4-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
treebo trend umal homestay,guwahati,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,kitchen,full-service laundry
"radisson blu hotel, guwahati",guwahati,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
exotic villa homestay,guwahati,breakfast,free wi-fi,free parking,room service,kitchen,full-service laundry,kid-friendly,0,0
vivanta guwahati,guwahati,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,pet-friendly,fitness center
"the greenwood resort, guwahati",guwahati,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,spa,bar,restaurant
novotel guwahati gs road,guwahati,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
ginger guwahati,guwahati,3-star hotel,free wi-fi,paid parking,air conditioning,fitness center,breakfast,full-service laundry,kid-friendly,0
a p home's,guwahati,sleeps 6,2 bedrooms,air conditioning,fireplace,cable tv,free wi-fi,no crib,no elevator,no fitness center
mahalaxmi home stay,guwahati,breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,kitchen,airport shuttle
the ornate,guwahati,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,full-service laundry
gibbon backpackers hostel,guwahati,breakfast,free wi-fi,paid parking,air conditioning,restaurant,kitchen,full-service laundry,0,0
pragati manor,guwahati,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
the rhino,guwahati,0,0,0,0,0,0,0,0,0
hiltop lodge,guwahati,sleeps 5,2 bedrooms,fireplace,paid parking,free wi-fi,no air conditioning,no crib,no elevator,no fitness center
airport guest house guwahati,guwahati,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,kitchen
"the greenwood, guwahati : a luxury boutique hotel",guwahati,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar,restaurant
dula homestay,guwahati,free wi-fi,free parking,air conditioning,breakfast,kitchen,accessible,0,0,0
luit vista guest house (a boutique heritage property),guwahati,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,kid-friendly,smoke-free
hotel dynasty,guwahati,4-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,fitness center,spa,bar,restaurant
ratnamouli palace,guwahati,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar,restaurant
treebo trend pappilon palace,mangalore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,room service,full-service laundry,kid-friendly,smoke-free
treebo trend the horizon - hotel in mangalore,mangalore,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,kitchen,full-service laundry
rks beachfront,mangalore,free wi-fi,free parking,pool,beach access,bar,restaurant,room service,kitchen,full-service laundry
hotel manorama,mangalore,3-star hotel,free wi-fi,free parking,air conditioning,kitchen,airport shuttle,full-service laundry,kid-friendly,0
grand plaza hotel,mangalore,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,room service,airport shuttle,kid-friendly,0
hotel ganga sagar,mangalore,free breakfast,free wi-fi,pool,air conditioning,restaurant,room service,full-service laundry,kid-friendly,smoke-free
"vivanta mangalore, old port road",mangalore,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
hotel mangalore international,mangalore,3-star hotel,free breakfast,free wi-fi,free parking,pool,restaurant,room service,full-service laundry,kid-friendly
cosmo lodge,mangalore,free wi-fi,paid parking,air conditioning,breakfast,room service,kitchen,full-service laundry,accessible,kid-friendly
the sea view,mangalore,free breakfast,free wi-fi,free parking,pool,spa,bar,restaurant,room service,kitchen
hotel heraa international - the heraa inn,mangalore,0,0,0,0,0,0,0,0,0
hotel poonja international,mangalore,3-star hotel,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
the ocean pearl inn,mangalore,free breakfast,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible,0
the ocean pearl,mangalore,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
royal plaza suites,mangalore,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle,0
goldfinch hote l mangaluru,mangalore,breakfast,free wi-fi,paid parking,pool,fitness center,restaurant,room service,kitchen,airport shuttle
hotel paramount suites & service apartments (mangalore),mangalore,free wi-fi,free parking,pool,air conditioning,room service,kitchen,full-service laundry,business center,0
hotel plaza heights,mangalore,free wi-fi,free parking,air conditioning,smoke-free,0,0,0,0,0
woodlands hotel,mangalore,breakfast,free parking,wi-fi,restaurant,room service,full-service laundry,kid-friendly,0,0
aj grand hotel,mangalore,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar,restaurant
hotel ganga sagar,mangalore,free breakfast,free wi-fi,pool,air conditioning,restaurant,room service,full-service laundry,kid-friendly,smoke-free
the sea view,mangalore,free breakfast,free wi-fi,free parking,pool,spa,bar,restaurant,room service,kitchen
grand mercure mysore,mysore,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
treebo trend akshaya mahal inn - hotel in mysore,mysore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kid-friendly,0
tulips homestay | studio rooms & wi-fi,mysore,sleeps 6,2 bedrooms,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no crib,no elevator
lalitha mahal palace hotel,mysore,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
"hotel heritage inn, mysore",mysore,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,full-service laundry,kid-friendly
hotel garden city,mysore,2-star hotel,breakfast,free wi-fi,free parking,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
aishwarya le royal (best budget hotel in mysore),mysore,3-star hotel,free wi-fi,paid parking,air conditioning,restaurant,kitchen,full-service laundry,0,0
hotel mayura hoysala mysuru,mysore,3-star hotel,free wi-fi,free parking,air conditioning,breakfast,bar,restaurant,room service,airport shuttle
livaana (formerly known as vivaana),mysore,breakfast,free wi-fi,free parking,pool,bar,restaurant,room service,kitchen,airport shuttle
hotel sandesh the prince,mysore,4-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"fortune jp palace, mysore - member itc's hotel group",mysore,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
grand mercure mysore,mysore,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
country inn mysore - mosaic,mysore,0,0,0,0,0,0,0,0,0
hotel sepoy grande,mysore,3-star hotel,free wi-fi,paid parking,pool,restaurant,room service,airport shuttle,full-service laundry,0
silent shores resort & spa,mysore,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
maya's kings kourt,mysore,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,full-service laundry
rahee bi roambay,mysore,0,0,0,0,0,0,0,0,0
regalia inn and suites,mysore,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,kitchen,airport shuttle,full-service laundry
hotel kalyani,mysore,2-star hotel,breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle
royal tusker luxury service apartments,mysore,free wi-fi,free parking,air conditioning,spa,breakfast,kitchen,airport shuttle,full-service laundry,accessible
grand maurya hotel & resort,mysore,2-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
tulips homestay mysore,mysore,sleeps 4,airport shuttle,cable tv,wheelchair accessible,free parking,free wi-fi,no air conditioning,no beach access,no elevator
hotel mayura hoysala mysuru,mysore,3-star hotel,free wi-fi,free parking,air conditioning,breakfast,bar,restaurant,room service,airport shuttle
hotel sandesh the prince,mysore,4-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
lp vilas,dehradun,4-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
shahanshahi adventure park and wellness resort,dehradun,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa,bar
the river's edge farm - a boutique stay,dehradun,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,room service,airport shuttle,full-service laundry,kid-friendly
mango tree courtyard,dehradun,free breakfast,paid parking,air conditioning,restaurant,room service,kitchen,full-service laundry,kid-friendly,0
hyatt regency dehradun resort and spa,dehradun,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
the hosteller dehradun,dehradun,breakfast,free wi-fi,free parking,air conditioning,restaurant,full-service laundry,0,0,0
adidev group of homestays,dehradun,breakfast,free wi-fi,paid parking,kitchen,full-service laundry,0,0,0,0
riverstone cottages,dehradun,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,restaurant,full-service laundry,kid-friendly
ramada by wyndham,dehradun,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
"tree of life resort, dehradun foothills",dehradun,free breakfast,free wi-fi,free parking,pool,pet-friendly,restaurant,room service,kitchen,full-service laundry
hotel rajpur heights,dehradun,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
bhagwant villa - a terrace view,dehradun,sleeps 4,1 bedroom,fireplace,paid parking,no air conditioning,no crib,no elevator,no fitness center,no ironing board
fairfield by marriott dehradun,dehradun,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
the sal woods - forest retreat and spa,dehradun,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,pet-friendly,spa,restaurant
old british house,dehradun,breakfast,free wi-fi,free parking,air conditioning,restaurant,kitchen,airport shuttle,full-service laundry,business center
lp vilas,dehradun,4-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
hotel jsr continental,dehradun,3-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
clarion hotel dehradun,dehradun,0,0,0,0,0,0,0,0,0
hotel embassy dehradun & the trekkers hostel,dehradun,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,kid-friendly
mango tree courtyard | heritage rooms with wi-fi,dehradun,sleeps 9,3 bedrooms,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no crib,no elevator
treebo trend elysee,dehradun,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,kitchen,airport shuttle,full-service laundry
treebo trend blessing bells,dehradun,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,kid-friendly
walisons hotel,srinagar,3-star hotel,free breakfast,free wi-fi,paid parking,restaurant,kitchen,airport shuttle,full-service laundry,kid-friendly
"the montreal, srinagar- best hotels/4 star hotels/hotel near dal lake/hotel near mughal garden",srinagar,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
zostel srinagar,srinagar,breakfast,free wi-fi,free parking,air conditioning,restaurant,airport shuttle,smoke-free,0,0
the shelter heritage a boutique hotel,srinagar,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,golf,full-service laundry
hotel samar,srinagar,3-star hotel,breakfast,free wi-fi,free parking,restaurant,airport shuttle,full-service laundry,kid-friendly,smoke-free
jamal resorts,srinagar,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,airport shuttle
hotel himalayan resort,srinagar,3-star hotel,breakfast,free wi-fi,free parking,pet-friendly,bar,restaurant,room service,kitchen
hotel new green view srinagar (ghulam),srinagar,0,0,0,0,0,0,0,0,0
asian park hotel,srinagar,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
the victory (a boutique hotel),srinagar,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,kitchen,airport shuttle,full-service laundry
hotel sultan residency,srinagar,breakfast,free wi-fi,free parking,air conditioning,pet-friendly,restaurant,room service,airport shuttle,full-service laundry
hotel royal heritage,srinagar,3-star hotel,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry
"the montreal, srinagar- best hotels/4 star hotels/hotel near dal lake/hotel near mughal garden",srinagar,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
floating heritage group,srinagar,4-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,pet-friendly,fitness center
hotel kashmir inn,srinagar,2-star hotel,free wi-fi,paid parking,pool,breakfast,kitchen,airport shuttle,full-service laundry,kid-friendly
hotel merlin palace,srinagar,0,0,0,0,0,0,0,0,0
hotel kashmir hilltown,srinagar,3-star hotel,free wi-fi,paid parking,pool,kitchen,full-service laundry,kid-friendly,0,0
hotel zaryab,srinagar,free breakfast,free wi-fi,paid parking,air conditioning,restaurant,room service,kitchen,full-service laundry,accessible
hotel meridien,srinagar,3-star hotel,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry
hotel lake scene,srinagar,0,0,0,0,0,0,0,0,0
"the orchard retreat & spa, srinagar",srinagar,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
radisson hotel srinagar,srinagar,3-star hotel,breakfast,free wi-fi,paid parking,pool,air conditioning,spa,restaurant,room service
centre point,jamshedpur,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
hotel golden heights - best hotel | budget hotel | best review hotel in jamshedpur,jamshedpur,free wi-fi,pool,restaurant,kitchen,full-service laundry,0,0,0,0
the cruze,jamshedpur,0,0,0,0,0,0,0,0,0
hotel ab palace - top budget & luxury hotels in jamshedpur,jamshedpur,3-star hotel,free breakfast,paid parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
the bizton,jamshedpur,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service,kitchen
adarsh guest house,jamshedpur,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,kitchen
ramada by wyndham jamshedpur,jamshedpur,3-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
the onyx hotel - hotel in jamshedpur,jamshedpur,3-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
hotel trax international,jamshedpur,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle,full-service laundry
the altira hotel,jamshedpur,3-star hotel,breakfast,free wi-fi,paid parking,air conditioning,restaurant,kitchen,full-service laundry,kid-friendly
novanta jamshedpur,jamshedpur,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle,full-service laundry
ginger jamshedpur,jamshedpur,3-star hotel,free wi-fi,paid parking,air conditioning,fitness center,breakfast,full-service laundry,kid-friendly,0
"the sonnet, jamshedpur",jamshedpur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
hotel ds international & kalyanam banquet hall,jamshedpur,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle,full-service laundry
madhuban motel,jamshedpur,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,kid-friendly,0
capsule pod hotel,jamshedpur,0,0,0,0,0,0,0,0,0
hotel chandra,jamshedpur,2-star hotel,breakfast,free wi-fi,air conditioning,room service,full-service laundry,business center,kid-friendly,smoke-free
hotel grand residency,jamshedpur,free breakfast,free wi-fi,pool,restaurant,room service,kitchen,full-service laundry,0,0
treebo trend pal comfort - hotel in jamshedpur,jamshedpur,3-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,airport shuttle,full-service laundry,kid-friendly
gyani's hotel,jamshedpur,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible,smoke-free
the prabha international hotel & caterers,gwalior,free breakfast,free wi-fi,free parking,hot tub,air conditioning,restaurant,room service,airport shuttle,full-service laundry
hotel ambience,gwalior,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
hotel solitaire inn,gwalior,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,room service,full-service laundry,kid-friendly,smoke-free
radisson gwalior,gwalior,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
hotel countryside,gwalior,0,0,0,0,0,0,0,0,0
the empire resort,gwalior,free breakfast,free wi-fi,free parking,air conditioning,pet-friendly,spa,restaurant,room service,kitchen
clarks inn suites gwalior,gwalior,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
the moziac hotel,gwalior,free breakfast,free wi-fi,paid parking,air conditioning,spa,restaurant,room service,kitchen,full-service laundry
"taj usha kiran palace, gwalior",gwalior,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
imperial golf resort and wedding lawns,gwalior,0,0,0,0,0,0,0,0,0
hotel gold inn,gwalior,free wi-fi,free parking,restaurant,room service,kitchen,full-service laundry,smoke-free,0,0
hotel ambience,gwalior,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
hotel anand palace,gwalior,3-star hotel,breakfast,free wi-fi,air conditioning,pet-friendly,restaurant,room service,airport shuttle,full-service laundry
the prabha international hotel & caterers,gwalior,free breakfast,free wi-fi,free parking,hot tub,air conditioning,restaurant,room service,airport shuttle,full-service laundry
royal sunrise resort,gwalior,free wi-fi,paid parking,pool,kitchen,full-service laundry,0,0,0,0
krishnam guest house,gwalior,0,0,0,0,0,0,0,0,0
hotel centella,gwalior,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,smoke-free,0
chaitanya kalyan guest house,gwalior,0,0,0,0,0,0,0,0,0
dera haveli heritage homestay,gwalior,free breakfast,free wi-fi,pool,air conditioning,restaurant,room service,full-service laundry,kid-friendly,0
govind niwas home stay,gwalior,sleeps 8,3 bedrooms,air conditioning,fireplace,cable tv,paid parking,free wi-fi,no crib,no elevator
clarks inn suites gwalior,gwalior,4-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,fitness center,spa,restaurant
the central park hotel,gwalior,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
treebo trend baby pearl,amravati,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,full-service laundry
hotel gouri inn,amravati,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
hotel regency,amravati,3-star hotel,free breakfast,free parking,wi-fi,room service,full-service laundry,kid-friendly,smoke-free,0
the grand mehfil,amravati,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,airport shuttle
maniratna resort,amravati,0,0,0,0,0,0,0,0,0
hotel rangoli pearl,amravati,1-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,airport shuttle
the grand mehfil,amravati,0,0,0,0,0,0,0,0,0
hotel gouri inn,amravati,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
empire stay,amravati,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,kitchen,airport shuttle
hotel four season,amravati,0,0,0,0,0,0,0,0,0
the prime park,amravati,0,0,0,0,0,0,0,0,0
treebo trend baby pearl,amravati,3-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,full-service laundry
hotel vandu international,amravati,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
hotel rajdhani,amravati,free breakfast,free wi-fi,air conditioning,pet-friendly,airport shuttle,full-service laundry,kid-friendly,0,0
hotel excel executive,amravati,3-star hotel,free wi-fi,free parking,pool,air conditioning,pet-friendly,restaurant,room service,kitchen
hotel regency,amravati,3-star hotel,free breakfast,free parking,wi-fi,room service,full-service laundry,kid-friendly,smoke-free,0
hotel rangoli pearl,amravati,1-star hotel,free breakfast,free wi-fi,paid parking,pool,air conditioning,restaurant,room service,airport shuttle
"the peerless inn, durgapur",durgapur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,kitchen
the citi residenci hotel,durgapur,free breakfast,free wi-fi,free parking,pool,fitness center,spa,bar,restaurant,room service
the citi residenci hotel,durgapur,free breakfast,free wi-fi,free parking,pool,fitness center,spa,bar,restaurant,room service
"fortune park pushpanjali, durgapur - member itc's hotel group",durgapur,4-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
hotel galaxy inn,durgapur,3-star hotel,breakfast,free wi-fi,free parking,air conditioning,room service,airport shuttle,full-service laundry,kid-friendly
"the peerless inn, durgapur",durgapur,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,kitchen
the damodar retreat,durgapur,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,full-service laundry,kid-friendly
banerjee inn- city centre,durgapur,3-star hotel,free breakfast,wi-fi,pool,air conditioning,bar,restaurant,room service,full-service laundry
city international hotel,durgapur,3-star hotel,free parking,air conditioning,restaurant,airport shuttle,full-service laundry,kid-friendly,0,0
morvee hotels durgapur,durgapur,free breakfast,free wi-fi,paid parking,spa,restaurant,room service,kitchen,airport shuttle,full-service laundry
kalpana inn,durgapur,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
the spices,durgapur,0,0,0,0,0,0,0,0,0
hotel steel regency,durgapur,free breakfast,free wi-fi,free parking,air conditioning,room service,kitchen,airport shuttle,full-service laundry,kid-friendly
hotel astor,durgapur,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry,business center
park prime hotel,durgapur,3-star hotel,free breakfast,free wi-fi,pool,restaurant,room service,kitchen,full-service laundry,0
ojas hotel & resort,durgapur,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle,full-service laundry
kohinoor hotel and restaurant benachity (a legend since 1956),durgapur,0,0,0,0,0,0,0,0,0
hotel astor,durgapur,free breakfast,free wi-fi,pool,restaurant,room service,kitchen,full-service laundry,0,0
morvee hotels durgapur,durgapur,free breakfast,free wi-fi,paid parking,spa,restaurant,room service,kitchen,airport shuttle,full-service laundry
ojas hotel & resort,durgapur,free breakfast,free wi-fi,free parking,air conditioning,bar,restaurant,room service,airport shuttle,full-service laundry
treebo trend winsome banquet and resort,ranchi,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry,business center
treebo trend archie regency,ranchi,3-star hotel,free breakfast,free wi-fi,air conditioning,restaurant,room service,full-service laundry,kid-friendly,0
radisson blu hotel ranchi,ranchi,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
"fabhotel accord - hotel in ranchi railway station, ranchi",ranchi,free breakfast,free wi-fi,pool,air conditioning,paid parking,restaurant,room service,kid-friendly,0
park prime ranchi,ranchi,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
treebo trend winsome banquet and resort,ranchi,free breakfast,free wi-fi,paid parking,pool,restaurant,room service,kitchen,full-service laundry,business center
hotel meera,ranchi,free wi-fi,pool,air conditioning,full-service laundry,kid-friendly,0,0,0,0
the royal retreat,ranchi,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant,room service
maplewood hotel,ranchi,3-star hotel,free breakfast,wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible
hotel kuber palace,ranchi,1-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,bar,restaurant,room service
