Hotel_Name,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9
"staybird - b suite, business hotel",pune,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,airport shuttle
hotel sardar,pune,3-star hotel,free wi-fi,free parking,air conditioning,restaurant,room service,kitchen,full-service laundry,kid-friendly
sunny's world,pune,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,kitchen,full-service laundry,accessible
procida hostel by zero jhanjhat,pune,breakfast,free wi-fi,pool,restaurant,full-service laundry,0,0,0,0
the oakwood,pune,4-star hotel,free breakfast,wi-fi,paid parking,air conditioning,restaurant,room service,kitchen,full-service laundry
sheraton grand pune bund garden hotel,pune,5-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
pratikruti the lakeview resort,pune,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,restaurant,room service
hotel centro,pune,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,full-service laundry,accessible,kid-friendly
st laurn hotel,pune,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,bar,restaurant,room service
cherry tree | rooms & wi-fi,pune,sleeps 3,1 bedroom,air conditioning,fireplace,free parking,free wi-fi,no crib,no elevator,no fitness center
fairfield by marriott pune kharadi,pune,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
sunny's world,pune,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,kitchen,full-service laundry,accessible
novotel chennai sipcot,chennai,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
park plaza chennai omr,chennai,5-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
avenue 11 boutique residences | rooms & caretaker,chennai,sleeps 8,3 bedrooms,air conditioning,fireplace,paid parking,free wi-fi,no crib,no elevator,no fitness center
"olive inn luxurious 4-bhk villa with indoor swimming pool, wifi, bbq",chennai,villa,sleeps 10,4 bedrooms,7 bathrooms,air conditioning,pool,kitchen,smoke-free,free parking
juhu beach house ecr,chennai,free wi-fi,free parking,pool,air conditioning,beach access,kitchen,full-service laundry,0,0
umino beach resort banquet hall and restaurant,chennai,breakfast,free wi-fi,free parking,pool,air conditioning,beach access,restaurant,room service,full-service laundry
vgp golden beach resort,chennai,2-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,spa,beach access
"regenta central rs, chennai(omr). 4 star hotel",chennai,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant,room service
turyaa chennai,chennai,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
blue lagoon beach resort,chennai,3-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,room service,full-service laundry
fairfield by marriott chennai omr,chennai,4-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,bar,restaurant,room service
four points by sheraton chennai omr,chennai,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,restaurant,room service
"taj club house, chennai",chennai,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
"vivanta chennai, it expressway",chennai,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,pet-friendly,fitness center,spa
ilara hotels & spa,chennai,3-star hotel,free breakfast,wi-fi,free parking,pool,air conditioning,spa,restaurant,room service
maroma suites,chennai,free breakfast,free wi-fi,free parking,pool,air conditioning,restaurant,airport shuttle,full-service laundry,accessible
the madras grand - hotel egmore,chennai,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle,full-service laundry
"holiday inn express chennai omr thoraipakkam, an ihg hotel",chennai,2-star hotel,free breakfast,free wi-fi,free parking,air conditioning,fitness center,restaurant,room service,airport shuttle
"crowne plaza new delhi rohini, an ihg hotel",delhi,4-star hotel,breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
ट्राइडेंट होटल,delhi,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
nu delhi homestay - deluxe double room,delhi,house,sleeps 2,1 bedroom,1 bathroom,2 beds,air conditioning,crib,fitness center,heating
the leela ambience convention hotel delhi,delhi,5-star hotel,free breakfast,wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
hotel city park- hotels in delhi,delhi,4-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
hotel mayda residency by mayda hospitality pvt. ltd.,delhi,breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry,accessible
jrd pride,delhi,3-star hotel,free breakfast,free wi-fi,free parking,air conditioning,restaurant,room service,airport shuttle,full-service laundry
radisson blu hotel new delhi paschim vihar,delhi,5-star hotel,breakfast,free wi-fi,paid parking,pool,air conditioning,fitness center,spa,bar
iidl suites,delhi,5-star hotel,free breakfast,free wi-fi,free parking,pool,hot tub,air conditioning,fitness center,spa
park inn by radisson new delhi ip extension,delhi,4-star hotel,breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,bar,restaurant
iidl suites,delhi,apartment,sleeps 10,air conditioning,airport shuttle,elevator,fireplace,fitness center,hot tub,kitchen
"welcomhotel by itc hotels, dwarka, new delhi - contemporary hotel in the capital | ideal for business & leisure travellers",delhi,5-star hotel,free breakfast,free wi-fi,free parking,pool,air conditioning,fitness center,spa,bar
