Hotel_Name,Hotel_Rating,City,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Hotel_Price,Image
Hotel Corporate Stay,4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2123,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/4c/cd/52/filename-dsc00346-jpg.jpg?w=600&h=-1&s=1
Jugglers Backpack,4.7,pune,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Room service,Kitchen,Airport shuttle,Full-service laundry,Business center,1116,https://cf.bstatic.com/xdata/images/hotel/max1024x768/321660754.jpg?k=687ec3daee4f70d4bc13144db7265ff0381b8663008698e0b5dabf68efc85aaf&o=&hp=1
Hyatt Pune,4.4,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,9701,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/5a/32/ba/pool.jpg?w=1100&h=-1&s=1
"The Central Park Hotel, Pune",4.1,pune,4-star hotel,Free breakfast,Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Restaurant,3708,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/a4/c4/36/the-central-park-hotel.jpg?w=1100&h=-1&s=1
"Four Points by Sheraton Hotel & Serviced Apartments, Pune",4.3,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Spa,Bar,6796,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/01/53/ea/facade.jpg?w=1200&h=-1&s=1
Hotel Phoenix,4.0,pune,3-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2752,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/05/a7/9e/phoenix-hotel.jpg?w=1200&h=-1&s=1
Hotel anvisha executive,4.4,pune,0,0,0,0,0,0,0,0,0,1067,
EMA Family Roomsa,3.8,pune,Sleeps 6,2 bedrooms,Air conditioning,Fireplace,Kitchen,Cable TV,Paid parking,Free Wi-Fi,No crib,1241,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/dc/f3/1e/oyo-3847-ema-hospitality.jpg?w=1000&h=-1&s=1
JM Four Hotel,3.9,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Airport shuttle,Full-service laundry,2550,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/6b/86/f7/hotel-jm-four.jpg?w=700&h=-1&s=1
Royal Orchid Central Pune,4.3,pune,4-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Fitness center,Bar,Restaurant,5085,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/29/07/f1/5e/exterior.jpg?w=1200&h=-1&s=1
"StayBird - B Suite, Business Hotel",4.0,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Airport shuttle,2512,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/a2/de/e1/staybird-b-suite.jpg?w=1200&h=-1&s=1
Hotel Sardar,3.5,pune,3-star hotel,Free Wi-Fi,Free parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,Kid-friendly,1344,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/ca/6e/c3/sardar-lodge.jpg?w=1200&h=-1&s=1
Sunny's World,4.2,pune,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Restaurant,Kitchen,Full-service laundry,Accessible,4549,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/cd/3a/db/main-entrance.jpg?w=1200&h=-1&s=1
Procida Hostel by Zero Jhanjhat,4.4,pune,Breakfast,Free Wi-Fi,Pool,Restaurant,Full-service laundry,0,0,0,0,921,https://cf.bstatic.com/xdata/images/hotel/max1024x768/359213417.jpg?k=027516d483abed0a391f8b91b1f758f001a69e1184f0ab786304aac289f632ab&o=&hp=1
The Oakwood,4.0,pune,4-star hotel,Free breakfast,Wi-Fi,Paid parking,Air conditioning,Restaurant,Room service,Kitchen,Full-service laundry,3333,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/a0/57/51/caption.jpg?w=1100&h=-1&s=1
Sheraton Grand Pune Bund Garden Hotel,4.5,pune,5-star hotel,Breakfast,Free Wi-Fi,Free parking,Pool,Hot tub,Air conditioning,Fitness center,Spa,9435,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/c0/f8/15/sheraton-grand-pune-bund.jpg?w=1200&h=-1&s=1
Pratikruti The Lakeview Resort,4.2,pune,3-star hotel,Free breakfast,Free Wi-Fi,Free parking,Pool,Air conditioning,Pet-friendly,Restaurant,Room service,1284,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgie72rI3_HmZKoTiYvrcLhuuLnzq_5kJZbOrnF5zH7dMtQEOgv7PWZUxSn_LR5kjQ0Zyp79DGuc5Or813aDSTcvRwCj1NsZSqOYitIU6seNIB6aYIJPbsHqy4n4RTS-jUId4iKmEmrmCiZ/s1600/Pratikruti-lakeview-resort-2.jpg
